LOCNAME,GRADE,ANNUAL1,ANNUAL2,ANNUAL3,ANNUAL4,ANNUAL5,ANNUAL6,ANNUAL7,ANNUAL8,ANNUAL9,ANNUAL10
AK,1,24049,24854,25654,26449,27249,27716,28506,29305,29336,30087
AK,2,27039,27683,28578,29336,29669,30542,31415,32288,33161,34034
AK,3,29502,30485,31469,32452,33435,34418,35401,36385,37368,38351
AK,4,33120,34224,35327,36431,37534,38638,39741,40845,41948,43052
AK,5,37055,38291,39526,40762,41997,43232,44468,45703,46939,48174
AK,6,41304,42681,44057,45433,46809,48185,49562,50938,52314,53690
AK,7,45900,47430,48960,50490,52020,53549,55079,56609,58139,59669
AK,8,50833,52528,54223,55918,57613,59308,61003,62698,64393,66088
AK,9,56146,58017,59889,61761,63632,65504,67376,69247,71119,72991
AK,10,61830,63891,65952,68013,70074,72135,74197,76258,78319,80380
AK,11,67930,70195,72459,74724,76989,79253,81518,83783,86047,88312
AK,12,81421,84135,86849,89563,92277,94991,97705,100419,103133,105847
AK,13,96819,100046,103274,106501,109729,112956,116183,119411,122638,125865
AK,14,114411,118225,122039,125853,129666,133480,137294,141107,144921,148735
AK,15,134578,139064,143550,148036,152522,157008,161493,164200,164200,164200
AL,1,21885,22617,23345,24069,24797,25222,25941,26668,26696,27380
AL,2,24606,25192,26006,26696,26999,27793,28588,29382,30177,30972
AL,3,26847,27742,28637,29532,30426,31321,32216,33110,34005,34900
AL,4,30140,31144,32148,33152,34157,35161,36165,37169,38174,39178
AL,5,33721,34845,35969,37094,38218,39342,40466,41591,42715,43839
AL,6,37588,38840,40092,41345,42597,43849,45102,46354,47607,48859
AL,7,41770,43162,44554,45946,47339,48731,50123,51515,52907,54299
AL,8,46259,47801,49344,50886,52428,53971,55513,57056,58598,60141
AL,9,51093,52797,54500,56203,57906,59610,61313,63016,64719,66422
AL,10,56266,58142,60017,61893,63769,65644,67520,69396,71271,73147
AL,11,61817,63878,65939,68000,70061,72122,74183,76243,78304,80365
AL,12,74094,76564,79034,81503,83973,86443,88913,91383,93852,96322
AL,13,88107,91044,93981,96918,99854,102791,105728,108665,111602,114539
AL,14,104116,107587,111057,114528,117998,121469,124939,128410,131880,135351
AL,15,122468,126550,130633,134715,138797,142879,146961,151043,155126,159208
AQ,1,21746,22474,23197,23916,24640,25062,25776,26499,26526,27206
AQ,2,24450,25032,25841,26526,26827,27617,28406,29196,29985,30775
AQ,3,26677,27566,28455,29344,30233,31122,32011,32900,33789,34678
AQ,4,29948,30946,31944,32942,33940,34938,35935,36933,37931,38929
AQ,5,33507,34624,35741,36858,37975,39092,40209,41326,42443,43560
AQ,6,37349,38593,39838,41082,42326,43571,44815,46060,47304,48549
AQ,7,41505,42888,44271,45655,47038,48421,49805,51188,52571,53955
AQ,8,45965,47497,49030,50563,52095,53628,55161,56693,58226,59759
AQ,9,50769,52461,54154,55846,57539,59231,60923,62616,64308,66001
AQ,10,55909,57772,59636,61500,63364,65227,67091,68955,70818,72682
AQ,11,61425,63472,65520,67568,69616,71664,73711,75759,77807,79855
AQ,12,73623,76077,78532,80986,83440,85894,88348,90802,93256,95710
AQ,13,87547,90465,93384,96302,99220,102139,105057,107975,110893,113812
AQ,14,103455,106903,110352,113800,117249,120697,124146,127594,131043,134491
AQ,15,121690,125747,129803,133859,137915,141972,146028,150084,154140,158196
ATL,1,22760,23522,24279,25032,25789,26231,26979,27735,27764,28475
ATL,2,25590,26200,27047,27764,28079,28905,29731,30558,31384,32210
ATL,3,27921,28852,29782,30713,31643,32574,33504,34435,35365,36296
ATL,4,31345,32390,33434,34479,35523,36567,37612,38656,39700,40745
ATL,5,35070,36239,37408,38577,39747,40916,42085,43254,44423,45593
ATL,6,39091,40394,41696,42998,44301,45603,46906,48208,49511,50813
ATL,7,43441,44889,46336,47784,49232,50680,52128,53576,55024,56471
ATL,8,48109,49713,51317,52921,54526,56130,57734,59338,60942,62546
ATL,9,53137,54909,56680,58451,60223,61994,63765,65537,67308,69079
ATL,10,58517,60467,62418,64369,66319,68270,70221,72171,74122,76073
ATL,11,64290,66433,68577,70720,72863,75007,77150,79293,81436,83580
ATL,12,77058,79626,82195,84764,87332,89901,92469,95038,97606,100175
ATL,13,91631,94685,97740,100794,103849,106903,109958,113012,116066,119121
ATL,14,108281,111890,115499,119109,122718,126327,129937,133546,137156,140765
ATL,15,127367,131612,135858,140103,144349,148594,152840,157085,161331,164200
AU,1,21924,22658,23388,24112,24842,25268,25988,26716,26744,27429
AU,2,24650,25237,26053,26744,27048,27844,28639,29435,30231,31027
AU,3,26896,27792,28688,29585,30481,31377,32274,33170,34066,34963
AU,4,30194,31200,32206,33212,34218,35224,36230,37236,38242,39248
AU,5,33782,34908,36034,37160,38287,39413,40539,41665,42792,43918
AU,6,37655,38910,40165,41419,42674,43928,45183,46438,47692,48947
AU,7,41845,43240,44635,46029,47424,48819,50213,51608,53003,54397
AU,8,46342,47887,49433,50978,52523,54068,55613,57159,58704,60249
AU,9,51186,52892,54598,56304,58011,59717,61423,63130,64836,66542
AU,10,56367,58246,60125,62005,63884,65763,67642,69521,71400,73279
AU,11,61929,63993,66058,68122,70187,72252,74316,76381,78445,80510
AU,12,74228,76702,79176,81650,84125,86599,89073,91547,94022,96496
AU,13,88265,91208,94150,97092,100034,102977,105919,108861,111804,114746
AU,14,104304,107781,111257,114734,118211,121688,125164,128641,132118,135595
AU,15,122689,126779,130868,134958,139047,143137,147226,151316,155405,159495
BOS,1,23947,24749,25546,26337,27134,27599,28386,29181,29212,29960
BOS,2,26925,27566,28457,29212,29543,30413,31282,32152,33021,33891
BOS,3,29378,30357,31336,32315,33294,34273,35252,36231,37210,38189
BOS,4,32980,34079,35178,36277,37376,38475,39574,40672,41771,42870
BOS,5,36899,38129,39359,40590,41820,43050,44280,45510,46741,47971
BOS,6,41130,42501,43871,45241,46612,47982,49353,50723,52093,53464
BOS,7,45707,47230,48753,50277,51800,53324,54847,56370,57894,59417
BOS,8,50618,52306,53994,55682,57370,59058,60745,62433,64121,65809
BOS,9,55909,57773,59636,61500,63364,65228,67091,68955,70819,72683
BOS,10,61569,63621,65674,67726,69779,71831,73884,75936,77988,80041
BOS,11,67643,69899,72154,74409,76664,78919,81174,83429,85684,87940
BOS,12,81077,83780,86482,89185,91888,94590,97293,99995,102698,105400
BOS,13,96411,99624,102838,106052,109266,112479,115693,118907,122121,125335
BOS,14,113929,117727,121524,125322,129119,132917,136715,140512,144310,148108
BOS,15,134011,138478,142945,147411,151878,156345,160812,164200,164200,164200
BU,1,22388,23138,23882,24623,25367,25802,26538,27281,27310,28010
BU,2,25172,25771,26605,27310,27620,28433,29246,30058,30871,31684
BU,3,27465,28380,29296,30211,31126,32042,32957,33872,34787,35703
BU,4,30833,31860,32888,33915,34942,35970,36997,38024,39052,40079
BU,5,34497,35647,36797,37947,39097,40247,41397,42547,43697,44847
BU,6,38452,39733,41015,42296,43577,44858,46139,47421,48702,49983
BU,7,42731,44155,45579,47003,48428,49852,51276,52700,54124,55549
BU,8,47323,48901,50479,52057,53635,55213,56790,58368,59946,61524
BU,9,52269,54011,55754,57496,59238,60981,62723,64466,66208,67950
BU,10,57560,59479,61398,63317,65236,67154,69073,70992,72911,74830
BU,11,63239,65348,67456,69564,71672,73781,75889,77997,80106,82214
BU,12,75798,78325,80852,83378,85905,88432,90958,93485,96011,98538
BU,13,90133,93138,96143,99147,102152,105156,108161,111165,114170,117174
BU,14,106511,110062,113612,117162,120713,124263,127813,131364,134914,138465
BU,15,125286,129462,133638,137814,141990,146166,150342,154518,158694,162870
CHI,1,23945,24747,25544,26335,27132,27597,28384,29179,29210,29958
CHI,2,26923,27564,28455,29210,29541,30411,31280,32149,33019,33888
CHI,3,29375,30354,31333,32312,33291,34270,35249,36228,37207,38186
CHI,4,32978,34077,35175,36274,37373,38472,39571,40669,41768,42867
CHI,5,36896,38126,39356,40586,41817,43047,44277,45507,46737,47967
CHI,6,41127,42497,43868,45238,46608,47978,49349,50719,52089,53460
CHI,7,45703,47226,48750,50273,51796,53319,54843,56366,57889,59412
CHI,8,50615,52302,53990,55678,57365,59053,60741,62428,64116,65804
CHI,9,55905,57768,59632,61495,63359,65223,67086,68950,70813,72677
CHI,10,61564,63616,65669,67721,69773,71826,73878,75930,77982,80035
CHI,11,67638,69893,72148,74403,76658,78913,81168,83423,85678,87933
CHI,12,81071,83773,86476,89178,91880,94583,97285,99987,102690,105392
CHI,13,96403,99617,102830,106044,109257,112471,115684,118898,122111,125325
CHI,14,113920,117717,121515,125312,129109,132907,136704,140501,144299,148096
CHI,15,134000,138467,142933,147400,151866,156333,160800,164200,164200,164200
CIN,1,22518,23272,24021,24765,25514,25952,26691,27439,27468,28172
CIN,2,25318,25921,26759,27468,27780,28597,29415,30232,31050,31867
CIN,3,27624,28545,29465,30386,31306,32227,33148,34068,34989,35909
CIN,4,31012,32045,33078,34111,35145,36178,37211,38245,39278,40311
CIN,5,34696,35853,37010,38167,39323,40480,41637,42794,43950,45107
CIN,6,38675,39963,41252,42541,43829,45118,46406,47695,48984,50272
CIN,7,42978,44411,45843,47276,48708,50140,51573,53005,54438,55870
CIN,8,47597,49184,50771,52358,53945,55532,57119,58706,60293,61880
CIN,9,52571,54324,56076,57829,59581,61334,63086,64839,66591,68344
CIN,10,57894,59824,61753,63683,65613,67543,69473,71403,73333,75263
CIN,11,63605,65726,67846,69967,72087,74208,76328,78449,80569,82690
CIN,12,76237,78779,81320,83861,86402,88944,91485,94026,96567,99109
CIN,13,90655,93677,96699,99721,102743,105765,108787,111809,114831,117853
CIN,14,107128,110699,114270,117841,121412,124982,128553,132124,135695,139266
CIN,15,126011,130211,134411,138612,142812,147012,151212,155413,159613,163813
CLE,1,22557,23312,24063,24809,25559,25997,26738,27488,27516,28221
CLE,2,25362,25966,26805,27516,27829,28647,29466,30285,31104,31923
CLE,3,27672,28595,29517,30439,31361,32284,33206,34128,35050,35972
CLE,4,31066,32101,33136,34171,35206,36241,37276,38312,39347,40382
CLE,5,34757,35916,37075,38233,39392,40551,41710,42869,44027,45186
CLE,6,38743,40033,41324,42615,43906,45197,46488,47779,49069,50360
CLE,7,43053,44488,45923,47358,48793,50228,51663,53098,54533,55968
CLE,8,47680,49270,50860,52450,54040,55629,57219,58809,60399,61989
CLE,9,52663,54419,56175,57930,59686,61441,63197,64952,66708,68464
CLE,10,57995,59928,61862,63795,65728,67661,69595,71528,73461,75395
CLE,11,63717,65841,67965,70089,72214,74338,76462,78586,80711,82835
CLE,12,76371,78917,81462,84008,86554,89099,91645,94191,96736,99282
CLE,13,90814,93841,96869,99896,102923,105950,108977,112005,115032,118059
CLE,14,107315,110893,114470,118047,121624,125201,128779,132356,135933,139510
CLE,15,126232,130439,134647,138855,143062,147270,151477,155685,159893,164100
COL,1,22349,23097,23840,24579,25323,25757,26491,27233,27262,27960
COL,2,25128,25726,26558,27262,27571,28383,29194,30005,30817,31628
COL,3,27417,28330,29244,30158,31071,31985,32899,33812,34726,35640
COL,4,30779,31804,32830,33855,34881,35906,36932,37957,38983,40008
COL,5,34436,35584,36732,37880,39028,40176,41324,42472,43620,44768
COL,6,38384,39663,40942,42221,43500,44779,46058,47337,48616,49895
COL,7,42656,44077,45499,46921,48342,49764,51186,52607,54029,55451
COL,8,47239,48815,50390,51965,53540,55115,56690,58266,59841,61416
COL,9,52177,53916,55655,57395,59134,60873,62613,64352,66091,67831
COL,10,57459,59374,61290,63205,65121,67036,68951,70867,72782,74698
COL,11,63128,65232,67337,69442,71546,73651,75755,77860,79964,82069
COL,12,75665,78187,80709,83231,85754,88276,90798,93320,95842,98364
COL,13,89975,92974,95973,98972,101972,104971,107970,110969,113969,116968
COL,14,106323,109868,113412,116956,120500,124044,127588,131132,134676,138221
COL,15,125065,129234,133402,137571,141740,145908,150077,154246,158415,162583
CS,1,21901,22635,23363,24087,24816,25242,25961,26689,26717,27401
CS,2,24625,25211,26026,26717,27020,27815,28610,29405,30200,30995
CS,3,26868,27764,28659,29554,30450,31345,32241,33136,34031,34927
CS,4,30163,31168,32173,33178,34183,35188,36193,37198,38203,39208
CS,5,33747,34872,35997,37122,38247,39372,40498,41623,42748,43873
CS,6,37617,38870,40123,41377,42630,43883,45137,46390,47643,48897
CS,7,41802,43195,44589,45982,47375,48768,50162,51555,52948,54341
CS,8,46294,47838,49382,50925,52469,54013,55556,57100,58644,60187
CS,9,51133,52837,54542,56247,57951,59656,61360,63065,64769,66474
CS,10,56309,58187,60064,61941,63818,65695,67572,69449,71326,73203
CS,11,61865,63927,65990,68052,70115,72177,74240,76302,78365,80427
CS,12,74151,76623,79095,81566,84038,86510,88981,91453,93925,96397
CS,13,88175,91114,94053,96992,99932,102871,105810,108749,111689,114628
CS,14,104196,107670,111143,114616,118089,121563,125036,128509,131982,135455
CS,15,122563,126648,130734,134819,138904,142989,147075,151160,155245,159331
CT,1,21830,22561,23287,24009,24735,25159,25876,26602,26630,27312
CT,2,24545,25129,25942,26630,26932,27724,28517,29309,30102,30894
CT,3,26781,27673,28566,29458,30351,31243,32136,33028,33921,34813
CT,4,30065,31066,32068,33070,34072,35073,36075,37077,38079,39080
CT,5,33637,34758,35880,37001,38123,39244,40366,41487,42608,43730
CT,6,37494,38743,39993,41242,42491,43740,44990,46239,47488,48737
CT,7,41666,43055,44443,45832,47221,48609,49998,51387,52776,54164
CT,8,46144,47682,49221,50759,52298,53837,55375,56914,58452,59991
CT,9,50966,52665,54364,56063,57762,59461,61160,62859,64558,66257
CT,10,56126,57997,59868,61739,63610,65481,67352,69223,71094,72965
CT,11,61663,63719,65775,67831,69886,71942,73998,76054,78109,80165
CT,12,73910,76373,78837,81301,83764,86228,88691,91155,93619,96082
CT,13,87887,90817,93747,96676,99606,102536,105465,108395,111325,114254
CT,14,103857,107319,110781,114243,117704,121166,124628,128090,131552,135014
CT,15,122163,126235,130307,134379,138451,142523,146595,150667,154739,158811
DAY,1,22187,22930,23668,24402,25140,25571,26300,27037,27065,27758
DAY,2,24946,25540,26366,27065,27372,28178,28983,29789,30594,31400
DAY,3,27218,28126,29033,29940,30847,31754,32661,33568,34475,35382
DAY,4,30556,31574,32592,33611,34629,35647,36665,37683,38701,39719
DAY,5,34187,35327,36466,37606,38746,39886,41026,42165,43305,44445
DAY,6,38107,39377,40646,41916,43186,44455,45725,46995,48264,49534
DAY,7,42347,43759,45170,46581,47993,49404,50816,52227,53638,55050
DAY,8,46898,48462,50025,51589,53153,54717,56281,57844,59408,60972
DAY,9,51800,53526,55253,56980,58707,60433,62160,63887,65614,67340
DAY,10,57044,58945,60847,62748,64650,66551,68453,70355,72256,74158
DAY,11,62672,64761,66850,68940,71029,73118,75208,77297,79386,81476
DAY,12,75118,77622,80126,82630,85134,87638,90142,92645,95149,97653
DAY,13,89324,92302,95279,98257,101234,104212,107190,110167,113145,116122
DAY,14,105555,109073,112592,116110,119629,123147,126666,130184,133703,137221
DAY,15,124161,128299,132438,136576,140715,144854,148992,153131,157269,161408
DCB,1,24086,24893,25694,26490,27292,27760,28551,29351,29382,30134
DCB,2,27081,27726,28623,29382,29715,30589,31464,32338,33213,34087
DCB,3,29548,30533,31518,32502,33487,34472,35457,36441,37426,38411
DCB,4,33172,34277,35382,36488,37593,38698,39803,40909,42014,43119
DCB,5,37113,38351,39588,40825,42063,43300,44537,45775,47012,48249
DCB,6,41369,42747,44126,45504,46882,48261,49639,51017,52396,53774
DCB,7,45972,47504,49036,50569,52101,53633,55165,56698,58230,59762
DCB,8,50912,52610,54308,56005,57703,59400,61098,62796,64493,66191
DCB,9,56233,58108,59983,61857,63732,65606,67481,69355,71230,73105
